날짜,종가,오픈,고가,저가,거래량,변동 %
1996.1.1,785.25,774.75,793.45,774.05,,1.22%
1996.2.1,782.55,784.55,785.15,777.25,,-0.34%
1996.3.1,782.25,782.45,785.05,777.15,,-0.04%
1996.4.1,778.25,782.75,783.15,778.25,,-0.51%
1996.5.1,787.95,778.65,789.85,778.05,,1.25%
1996.6.1,811.2,787.7,813.2,785.9,,2.95%
1996.7.1,812.9,809.8,816.1,803.1,,0.21%
1996.8.1,819.25,812.05,823.55,812.05,,0.78%
1996.9.1,826,819.5,830.5,817.7,,0.82%
1996.10.1,826.25,826.05,836.75,822.25,,0.03%
1996.11.1,828.95,822.15,831.15,822.15,,0.33%
1996.12.1,845,831,847.9,828.5,,1.94%
1997.1.1,865,844,867.1,842,,2.37%
1997.2.1,864,866,887,854,,-0.12%
1997.3.1,895.5,866,901.8,862.5,,3.65%
1997.4.1,892,897,899.5,887,,-0.39%
1997.5.1,892.25,891.25,897.35,889.75,,0.03%
1997.6.1,888,892.8,894,887,,-0.48%
1997.7.1,890,889.7,897,887,,0.23%
1997.8.1,902.5,892.5,911.9,889.5,,1.40%
1997.9.1,915,906.6,917,903,,1.39%
1997.10.1,965,914,989,914,,5.46%
1997.11.1,1169.5,964.5,"1,172.00",950,,21.19%
1997.12.1,1695,"1,165.00","1,995.00","1,125.00",,44.93%
1998.1.1,1524,"1,704.00","1,854.00","1,504.00",,-10.09%
1998.2.1,1633,"1,502.00","1,731.00","1,502.00",,7.15%
1998.3.1,1385,"1,610.00","1,645.00","1,342.00",,-15.19%
1998.4.1,1336.5,"1,380.50","1,489.50","1,328.50",,-3.50%
1998.5.1,1407.5,"1,336.50","1,465.50","1,301.50",,5.31%
1998.6.1,1373,"1,402.00","1,446.00","1,352.00",,-2.45%
1998.7.1,1230.5,"1,362.50","1,372.50","1,185.50",,-10.38%
1998.8.1,1350,"1,231.00","1,361.00","1,231.00",,9.71%
1998.9.1,1390.75,"1,350.25","1,410.25","1,317.25",,3.02%
1998.10.1,1319.5,"1,385.50","1,391.50","1,309.50",,-5.12%
1998.11.1,1246,"1,318.00","1,323.00","1,235.00",,-5.57%
1998.12.1,1203,"1,242.00","1,246.00","1,187.00",,-3.45%
1999.1.1,1175,"1,190.00","1,198.00","1,147.00",,-2.33%
1999.2.1,1223.5,"1,170.00","1,226.00","1,165.00",,4.13%
1999.3.1,1227,"1,222.00","1,249.00","1,211.00",,0.29%
1999.4.1,1188.5,"1,222.50","1,228.50","1,150.50",,-3.14%
1999.5.1,1186.35,"1,188.15","1,214.15","1,180.15",,-0.18%
1999.6.1,1157.5,"1,185.00","1,191.00","1,151.70",,-2.43%
1999.7.1,1203.5,"1,157.50","1,213.50","1,157.50",,3.97%
1999.8.1,1180.5,"1,201.50","1,209.50","1,180.50",,-1.91%
1999.9.1,1216.5,"1,183.50","1,220.50","1,178.50",,3.05%
1999.10.1,1199.5,"1,216.50","1,218.50","1,198.50",,-1.40%
1999.11.1,1159.25,"1,201.25","1,201.25","1,155.25",,-3.36%
1999.12.1,1135.5,"1,159.00","1,160.70","1,124.50",,-2.05%
2000.1.1,1123.5,"1,128.50","1,155.50","1,116.50",,-1.06%
2000.2.1,1131.11,"1,124.20","1,144.70","1,113.90",,0.68%
2000.3.1,1105.25,"1,128.25","1,130.25","1,105.25",,-2.29%
2000.4.1,1109.75,"1,107.25","1,116.75","1,104.25",,0.41%
2000.5.1,1129.5,"1,109.50","1,142.50","1,109.20",,1.78%
2000.6.1,1115.03,"1,130.12","1,134.12","1,112.62",,-1.28%
2000.7.1,1116.75,"1,114.85","1,120.15","1,109.95",,0.15%
2000.8.1,1108.75,"1,116.05","1,117.65","1,108.05",,-0.72%
2000.9.1,1115.15,"1,108.85","1,134.65","1,103.85",,0.58%
2000.10.1,1137.5,"1,114.00","1,144.00","1,107.50",,2.00%
2000.11.1,1215.5,"1,137.50","1,216.00","1,130.50",,6.86%
2000.12.1,1265,"1,218.00","1,276.00","1,182.00",,4.07%
2001.1.1,1257,"1,261.00","1,292.50","1,241.00",,-0.63%
2001.2.1,1253.95,"1,260.45","1,273.25","1,232.85",,-0.24%
2001.3.1,1331,"1,258.00","1,331.50","1,253.00",,6.14%
2001.4.1,1317,"1,336.50","1,369.00","1,296.00",,-1.05%
2001.5.1,1281,"1,316.00","1,316.00","1,278.00",,-2.73%
2001.6.1,1300.5,"1,280.50","1,307.00","1,280.50",,1.52%
2001.7.1,1298,"1,304.00","1,319.00","1,294.00",,-0.19%
2001.8.1,1280,"1,300.00","1,300.50","1,270.00",,-1.39%
2001.9.1,1304,"1,284.00","1,318.00","1,273.00",,1.88%
2001.10.1,1291,"1,304.00","1,326.00","1,291.00",,-1.00%
2001.11.1,1268,"1,302.00","1,302.00","1,257.00",,-1.78%
2001.12.1,1313.5,"1,273.10","1,320.50","1,261.40",,3.59%
2002.1.1,1309.4,"1,326.00","1,337.00","1,296.00",,-0.31%
2002.2.1,1318.8,"1,309.40","1,329.00","1,309.40",,0.72%
2002.3.1,1320.9,"1,318.80","1,332.00","1,309.30",,0.16%
2002.4.1,1289,"1,329.90","1,337.40","1,288.60",,-2.42%
2002.5.1,1214.3,"1,289.00","1,290.30","1,214.30",,-5.80%
2002.6.1,1203,"1,228.30","1,235.40","1,188.30",,-0.93%
2002.7.1,1178,"1,208.90","1,212.80","1,155.60",,-2.08%
2002.8.1,1196.9,"1,193.00","1,221.00","1,177.80",,1.60%
2002.9.1,1222.7,"1,205.00","1,238.00","1,186.20",,2.16%
2002.10.1,1224,"1,225.00","1,268.50","1,213.00",,0.11%
2002.11.1,1202.85,"1,225.15","1,230.85","1,194.75",,-1.73%
2002.12.1,1186.05,"1,209.25","1,231.95","1,182.15",,-1.40%
2003.1.1,1164,"1,189.00","1,198.60","1,161.60",,-1.86%
2003.2.1,1193.65,"1,175.05","1,214.05","1,170.05",,2.55%
2003.3.1,1251,"1,195.00","1,264.30","1,183.60",,4.80%
2003.4.1,1214.5,"1,251.00","1,260.50","1,203.20",,-2.92%
2003.5.1,1209,"1,211.00","1,216.00","1,188.00",,-0.45%
2003.6.1,1195,"1,208.00","1,210.00","1,182.00",,-1.16%
2003.7.1,1180.5,"1,191.60","1,192.70","1,175.00",,-1.21%
2003.8.1,1174.5,"1,180.00","1,189.30","1,165.50",,-0.51%
2003.9.1,1149,"1,176.50","1,179.50","1,148.00",,-2.17%
2003.10.1,1183.5,"1,152.90","1,189.50","1,145.30",,3.00%
2003.11.1,1202.05,"1,184.05","1,205.55","1,170.05",,1.57%
2003.12.1,1192.5,"1,206.50","1,208.50","1,182.50",,-0.79%
2004.1.1,1171.5,"1,193.50","1,197.70","1,168.50",,-1.76%
2004.2.1,1178.5,"1,172.20","1,186.20","1,152.50",,0.60%
2004.3.1,1143,"1,177.00","1,183.00","1,143.00",,-3.01%
2004.4.1,1173.35,"1,144.95","1,179.45","1,139.25",,2.66%
2004.5.1,1160.05,"1,174.25","1,192.05","1,159.45",,-1.13%
2004.6.1,1154.5,"1,158.50","1,167.30","1,145.50",,-0.48%
2004.7.1,1166.5,"1,152.50","1,175.30","1,146.50",,1.04%
