YEAR,MONTH,CIVIL,IND
2021,1,1917937.376417662,768894.3551828188
2021,2,1656534.2221510154,685441.2936980744
2021,3,1317346.1945522837,648391.7590714942
2021,4,940897.7757559046,575061.1631958009
2021,5,557408.2196799996,530425.1735202663
2021,6,424965.55285538215,532642.9568928026
2021,7,394105.6173862966,544711.581701762
2021,8,378009.55408532516,545998.795461532
2021,9,387565.10395516077,575538.4710668721
2021,10,595052.6021294944,646063.3997720628
2021,11,1096125.071010421,749990.2117005849
2021,12,1854840.733516363,859720.0300577977
2022,1,1963771.6962230478,839753.0389178934
2022,2,1682050.3318322825,738819.4638513303
2022,3,1342164.664598776,700072.5414891447
2022,4,962436.2822236131,632456.1909276615
2022,5,575093.7750487033,590419.7337534067
2022,6,443394.3033014337,590472.6400297761
2022,7,403218.86873848806,597766.2243870292
2022,8,386872.6598777622,599189.1935617327
2022,9,395239.3535068989,627981.4647835494
2022,10,628172.9584294329,708157.9189476717
2022,11,1094961.3338736063,826665.5425227782
2022,12,1863646.5822196503,948345.7480402635
2023,1,2030108.9082767023,917472.1470053378
2023,2,1694286.199678177,804335.8399673933
2023,3,1359070.3258946387,764101.3308618098
2023,4,979522.07090915,694183.5650414176
2023,5,588300.2680999892,657147.1048598978
2023,6,457531.1167242706,644569.5303986283
2023,7,407578.99305754295,650777.276486516
2023,8,390900.64296688186,652405.6426120878
2023,9,397722.88326775946,684951.7918547614
2023,10,639128.0490269781,785315.0877912735
2023,11,1093208.2115887683,919301.0349486906
2023,12,1869747.390616497,1062788.0375172512
2024,1,2045605.1572753526,982024.5725251071
2024,2,1715252.9136071748,864351.7432709803
2024,3,1374059.449820735,826587.332407804
2024,4,990186.5530569254,750221.928084762
2024,5,593432.3636906295,710092.5968916817
2024,6,470715.3310745551,695656.0304040225
2024,7,421444.83326139266,702915.6562204721
2024,8,402925.3877522058,708231.0970627042
2024,9,409764.23227812606,749559.411698871
2024,10,658631.3629491336,872955.7512668715
2024,11,1087684.498176591,1035790.1548652533
2024,12,1873626.922065918,1182739.2491177402
2025,1,2034023.7802924013,1008630.389732315
2025,2,1720628.1415746822,907712.0950806234
2025,3,1384941.238528886,871698.2097195697
2025,4,1002559.0265386892,793195.0972697794
2025,5,603928.1405283037,753418.7977840235
2025,6,475594.92569349596,740972.9056486356
2025,7,437245.5088066386,750685.9570038288
2025,8,418551.3970129116,761771.4964002124
2025,9,423993.4068959137,828990.8788545677
2025,10,684623.3112811362,986881.0159684323
2025,11,1083274.0860793325,1187571.7908633135
2025,12,1871165.862531684,1185153.7980869163
2026,1,2045343.514127868,1020601.0958049141
2026,2,1732062.632777542,927285.6007701663
2026,3,1394276.666904192,892491.1407903365
2026,4,1013745.3863786124,820765.7271743272
2026,5,613695.6431384375,786584.100265992
2026,6,480150.62939711584,778871.0960021913
2026,7,448589.4686008018,794549.0888338855
2026,8,429865.62750865717,822943.5982475252
2026,9,433976.9846123028,938273.501505732
2026,10,701835.9055793937,1133776.9462419816
2026,11,1078078.4462635994,1266659.2071063635
2026,12,1866293.1582352899,1140211.7305439268
2027,1,2055321.5271615414,1024203.7750709858
2027,2,1742440.6002793827,935792.3017559523
2027,3,1402652.439111007,904168.8755002152
2027,4,1024255.2007740065,839365.2706166671
2027,5,623071.541996213,812896.1060482676
2027,6,484465.5287514273,813167.8964710182
2027,7,450524.78976487997,843153.9190194801
2027,8,431864.266910946,917618.8479642578
2027,9,434702.0617925356,1079198.7807294575
2027,10,702351.0660946737,1293655.305894868
2027,11,1072023.5626471369,1166740.6882588507
2027,12,1858110.0816564856,1116261.616188676
2028,1,2064368.3798146984,1015566.2042915159
2028,2,1752077.6720545203,935384.6311322971
2028,3,1412668.7893888718,909029.9964918427
2028,4,1030562.9903073125,852658.6808864577
2028,5,625314.3634115056,836524.5248072374
2028,6,487294.57248609175,850439.6640856236
