YEAR,MONTH,CIVIL,IND
2021,1,1895356.3670865055,763677.3429286003
2021,2,1614604.4006067752,678183.7087477683
2021,3,1278734.4689489363,655901.9982702255
2021,4,883304.6890274524,603023.1629981993
2021,5,499696.3891724944,543390.062116909
2021,6,382046.0721658468,544247.4309542178
2021,7,372552.6518452406,551476.100169277
2021,8,353272.77406210307,545366.3032286643
2021,9,371981.9993446708,546961.3426957129
2021,10,606478.217040944,593505.6133584975
2021,11,1157436.943326044,675081.4308565139
2021,12,1869039.333406973,763410.0207003593
2022,1,1911065.0622657295,774031.0623619079
2022,2,1600678.3081040382,703570.4357542037
2022,3,1260901.8158802507,645018.1864662169
2022,4,851842.9425711869,620059.238323593
2022,5,479875.5406687737,574404.6153610229
2022,6,383114.45690895326,553690.9642381667
2022,7,371780.74427108775,556113.1234752655
2022,8,352474.9723000169,551861.2472546577
2022,9,378748.71440008876,552642.7575717925
2022,10,642507.623115611,581344.8704306602
2022,11,1190771.119925499,655849.9693649291
2022,12,1883744.5723859307,740628.3703931808
2023,1,1918806.5175749778,766204.3232461929
2023,2,1580239.0168344975,720256.2478752135
2023,3,1237448.1151044846,649530.746675968
2023,4,827184.5273346424,632905.2085145949
2023,5,466596.12518790964,586646.9211042403
2023,6,385221.05462037324,557994.5044328689
2023,7,369671.19987156393,561997.0440660475
2023,8,350480.897984618,560716.028998947
2023,9,383983.2349667788,551593.0533011436
2023,10,667562.1575825452,564394.520653057
2023,11,1221691.6149980067,637925.8173673629
2023,12,1898228.0161554338,715670.1944860457
2024,1,1898702.2749935149,751828.06591959
2024,2,1567034.3059477806,734197.1248617171
2024,3,1215147.7101545334,662363.5119086264
2024,4,805647.7605971335,634553.594801998
2024,5,455788.228841281,605524.9972115515
2024,6,388337.6108899236,566342.9481230734
2024,7,370976.0698074937,558635.7243712425
2024,8,352087.2793025553,559425.8807237624
2024,9,393472.0979544282,545296.0003734587
2024,10,696589.5523025035,550055.1879118918
2024,11,1250466.3870267868,621139.1199248313
2024,12,1907172.393699646,692507.0985158919
2025,1,1863721.273380661,734858.0133792877
2025,2,1552320.491347265,737922.1359115599
2025,3,1194549.2965310097,685048.9846139906
2025,4,785829.1058894395,627798.446407032
2025,5,445555.6246909142,615147.2125800132
2025,6,387010.4135925531,574293.0850012779
2025,7,375142.65988096,550890.0955821036
2025,8,356517.0632757426,550404.0898657797
2025,9,406282.17042493826,545662.8847221851
2025,10,731192.2554079532,545087.350069189
2025,11,1280630.835900068,606171.5027015685
2025,12,1914176.4695805071,674362.7086338042
2026,1,1845536.9227646822,716845.8015224456
2026,2,1538253.3782361506,736157.2328001021
2026,3,1174228.3364813803,708522.7607089041
2026,4,766307.3777765512,635277.6674771308
2026,5,435028.8793272138,618300.4472757338
2026,6,385911.56827710866,580239.7937298773
2026,7,377431.7236840546,550759.6358458519
2026,8,359271.4460057378,549905.9934525013
2026,9,418315.7187624574,555996.4440761565
2026,10,764856.2497324228,546039.0840338706
2026,11,1315609.311335325,591112.2079294204
2026,12,1922922.3702077866,658382.8442105292
2027,1,1827083.992356491,695322.8424903869
2027,2,1523928.5310659886,726563.9140826224
2027,3,1152462.3303837776,727448.306837654
2027,4,745187.4815829038,655918.655665779
2027,5,425165.52309235337,623005.5150024414
2027,6,385356.38998599054,591847.9426495552
2027,7,375236.95400630235,562109.8100982665
2027,8,357946.29460803274,556791.629899597
2027,9,427841.5262019277,556990.5138440608
2027,10,794677.8632518768,547439.6593307494
2027,11,1356765.2205890655,577218.6033385276
2027,12,1936260.3542574404,642673.0711993217
2028,1,1806217.2947334766,672956.4323613166
2028,2,1508584.382173395,711514.0605979918
2028,3,1128232.1737109185,735459.371650791
2028,4,722121.1213775157,679605.0364547728
2028,5,416797.9167080164,633276.0294972418
2028,6,385512.0262569189,611865.836497402
2028,7,373426.96136199834,570560.4234512328
2028,8,357594.4245149851,555901.0157354354
2028,9,440720.04555565125,549445.0932920931
2028,10,835257.2418715477,548884.6447323798
2028,11,1407473.5586273193,571696.7736857414
2028,12,1948948.6788904667,628274.6665534019
2029,1,1784083.8154767035,654518.4802028656
2029,2,1491493.380058098,694385.5356055258
2029,3,1101412.6475435258,735654.3739443778
2029,4,696504.2884206295,696685.1684066772
2029,5,409709.02226392034,639355.3796656608
2029,6,386350.9190678954,621891.9095571517
2029,7,372378.7089268327,576835.9889889716
2029,8,358592.78657758835,550451.1198307036
2029,9,458052.7103253961,548811.3776366233
2029,10,880346.7013493538,551890.1506709098
2029,11,1466669.767441082,571695.0089591026
2029,12,1959440.7425574306,613789.4373568534
2030,1,1760722.303432846,638984.4739648819
2030,2,1472095.0961081507,674483.3015185355
2030,3,1070035.9907938242,728281.0813385008
2030,4,668402.7719436525,717780.1378583907
2030,5,404040.4012272716,644101.8095708846
2030,6,387756.7479307174,622553.2620025633
2030,7,370917.28335683944,588585.227803421
2030,8,361392.08263236284,552487.8326432228
2030,9,480846.1031465173,556443.361097431
2030,10,934380.045383501,554763.0984090804
2030,11,1532352.8092612743,573278.3216994285
2030,12,1963684.5793476105,599204.5011052131
2031,1,1737336.9307760238,623395.143546772
2031,2,1449373.4823210717,651921.094968891
2031,3,1035234.5966018916,714094.4438892363
2031,4,638909.9943954467,735903.5670241355
2031,5,401215.01378941536,666477.5263134956
2031,6,389213.55173941853,624454.0908638954
2031,7,371258.1967944503,609324.4536648749
2031,8,368692.32097682956,568464.5907245635
2031,9,508532.32664082054,555512.9523475646
2031,10,992042.2238385438,554167.6355229854
2031,11,1597055.199608135,575472.9357474326
2031,12,1957161.4624338625,592334.773245716
2032,1,1714711.6468189715,608917.1497294425
2032,2,1423858.0076704978,632795.5170756339
2032,3,998413.6775957108,697440.542126274
2032,4,613440.466214466,737161.2428337096
2032,5,399597.8903250098,699476.8375526427
2032,6,390391.398361218,637596.7861996649
2032,7,371967.6802892447,619718.2075198173
2032,8,376397.05586959125,580171.0364897727
2032,9,536235.4103203177,549784.4943428992
2032,10,1051098.1776029589,553171.0775016784
2032,11,1654913.6365346913,578425.5881231307
2032,12,1941900.0369060517,591622.9707559585
2033,1,1692315.3064292907,594786.5423509597
2033,2,1396074.000031948,617327.9527956008
2033,3,963614.4525504112,678872.0001965521
2033,4,592697.9768855929,723967.0481154441
2033,5,398365.7903879881,720831.0438521384
2033,6,390475.08305234916,647640.5065258025
2033,7,371642.0371509433,621476.1610985755
2033,8,384043.54424537416,586964.1081143378
2033,9,561904.6971866965,551715.2353207588
2033,10,1103769.8891369342,553867.3945151805
2033,11,1700936.7164429184,581115.5609386443
2033,12,1918459.6468028068,593352.2263893127
2034,1,1671384.4217854498,580115.6639120101
2034,2,1367257.6757911681,601787.5053053854
2034,3,932281.4252273082,656290.4698902129
2034,4,575508.3525466681,711080.5296468734
2034,5,396777.65461040736,727292.9645229338
2034,6,389464.1128249407,662494.2317820548
2034,7,370121.36676353216,623876.1428896904
2034,8,390387.90375703573,599173.4993998527
2034,9,583977.7854292511,566309.4183169364
2034,10,1146303.8966857432,553786.1457418441
2034,11,1732386.4832939147,581075.2369349479
2034,12,1892056.005203533,595300.4845985412
