YEAR,MONTH,CIVIL,IND
2021,1,1910935.115108132,788090.2099107503
2021,2,1607537.4382584689,693185.4171847104
2021,3,1290014.1799361703,671754.4665877818
2021,4,871300.9706593155,622213.5162477492
2021,5,496992.627090618,566520.3979586362
2021,6,370502.7542698085,555745.8043177723
2021,7,363271.36168155074,558999.1330240964
2021,8,339171.2644526288,548970.1915358304
2021,9,362557.54605583847,545193.8971196412
2021,10,600318.78692618,598183.4541981219
2021,11,1186164.9291575549,667246.9135706424
2021,12,1898836.823008716,752125.9633754491
2022,1,1919969.734082162,792656.1092023848
2022,2,1589373.9163800476,731376.6384427546
2022,3,1267723.3636003134,661044.5612077712
2022,4,831973.7875889837,637720.6104044913
2022,5,472216.5664609671,585268.0817012786
2022,6,365422.3601986915,558110.9240477084
2022,7,359464.5709638596,558076.7324690818
2022,8,335332.1060000211,554352.3871933221
2022,9,368174.033625111,545055.6969647406
2022,10,624479.0132695137,582368.5255383252
2022,11,1229940.6499068737,643207.5867061614
2022,12,1919953.4654824133,723648.900491476
2023,1,1900738.646968722,782872.685307741
2023,2,1567936.7085431216,755092.1379690169
2023,3,1238406.2376306057,667052.6833449601
2023,4,801150.7685433029,644711.3543932437
2023,5,455985.156484887,597834.4795053004
2023,6,363419.96671296656,558319.1617910861
2023,7,356827.6404644549,556748.5550825595
2023,8,332839.51310577244,555147.2862486838
2023,9,374717.18433347344,544289.2541264294
2023,10,648431.3219781815,561918.4320663213
2023,11,1268591.2687475083,620802.3967092036
2023,12,1937422.613944292,692451.1806075572
2024,1,1875608.3437418933,764902.3636494874
2024,2,1547790.8824347255,772885.6560771464
2024,3,1210530.7314431665,683831.4836357831
2024,4,774229.8101214169,647317.5247524976
2024,5,442475.2860516012,611158.4965144395
2024,6,361617.84954990447,562180.9351538419
2024,7,353823.0950718671,553092.592964053
2024,8,330211.8569406941,554080.288404703
2024,9,381942.6302555352,544290.6879668235
2024,10,672751.8310031294,545232.5005148648
2024,11,1304454.7806584833,599819.0249060391
2024,12,1948603.0858745573,663497.3106448649
2025,1,1851546.591725826,743689.7979741095
2025,2,1529398.614184081,778279.76363945
2025,3,1184782.714413762,712188.3245174884
