YEAR,MONTH,CIVIL,IND
2021,1,1925048.9886123657,750762.7366956115
2021,2,1664096.1669988157,675101.8297435879
2021,3,1320494.3313158273,636832.5526241183
2021,4,944963.6951271533,567037.630503726
2021,5,561242.8381067752,524916.0349353671
2021,6,426479.4645411432,527196.5961373686
2021,7,396567.6623821676,537339.0713582872
2021,8,378454.67881713517,540355.0968690991
2021,9,388155.6830210805,568589.3284065604
2021,10,592166.0105929434,634638.2321445583
2021,11,1097796.4671660066,733788.186117506
2021,12,1864793.697056055,837149.1353945613
2022,1,1974419.394091487,818145.1160287022
2022,2,1692269.2487548352,725236.1847346781
2022,3,1346977.576781082,683851.5147145748
2022,4,969046.5478734733,620476.6128875375
2022,5,576897.3840176105,580841.594003272
2022,6,446529.72898404003,581167.6101776838
2022,7,405205.33424882294,586589.1572898864
2022,8,389612.4383845568,590485.9514493465
2022,9,395051.0216667354,617527.4285514473
2022,10,627097.2809601903,691956.4006934403
2022,11,1094694.7311745405,806150.1648492336
2022,12,1877636.7234280347,921724.1200850725
2023,1,2044467.8868062259,892395.5579919696
2023,2,1707309.5523403645,787501.0355015397
2023,3,1365656.6992511512,743190.8327640891
2023,4,988774.1522919774,678237.7611732482
2023,5,587966.8853736401,643502.1525668263
2023,6,462407.07445690036,631407.1056291937
2023,7,409054.84917230014,635801.0006602764
2023,8,396009.8746804893,640649.3351567864
2023,9,396671.0766504467,670976.4545309424
2023,10,639935.9811564564,764294.2300580502
2023,11,1090945.2833470465,894474.865881145
2023,12,1888043.4401170015,1032141.9756732106
2024,1,2063846.9879305363,953485.9721996307
2024,2,1731228.4347684858,844256.6397559523
2024,3,1383498.8351614713,803938.406380999
2024,4,996462.7199819923,730634.3602875709
2024,5,602300.6180327773,693276.7518174886
2024,6,471903.44298794866,678759.0800842523
2024,7,425777.9267678261,683923.9233574033
2024,8,401830.2312806308,690326.9994758486
2024,9,412000.30423834326,730654.0897306442
2024,10,655604.5010642589,850696.3445170164
2024,11,1097023.9297410967,1007999.6525747417
2024,12,1890906.6920861483,1147911.694851935
2025,1,2054346.682999873,974372.9333560824
2025,2,1738906.2595390321,881667.0933745503
2025,3,1396361.0563614368,844371.46072762
2025,4,1011639.557295561,769623.6748283386
2025,5,610671.1575300932,732515.5942325233
2025,6,478457.6488379002,720189.1595060229
2025,7,441029.1078913927,727857.395487976
2025,8,419832.44660096767,740807.2211255431
2025,9,425411.179057014,806607.6300681948
2025,10,683606.8158983707,959815.3323686956
2025,11,1090796.3809105756,1155431.8186913966
2025,12,1892983.9452587129,1146247.3078293682
2026,1,2069918.7854081872,982847.3985052467
2026,2,1753597.1286450385,898005.2172900081
2026,3,1407787.459965372,860458.3126299143
2026,4,1025731.0509586812,793199.8569521665
2026,5,618206.4374252558,761595.2340696811
2026,6,484810.30964154005,754201.7735472559
2026,7,451786.98636218905,767889.4105309844
2026,8,433597.03261234163,798926.66257689
2026,9,434489.657060802,912396.2885864138
2026,10,702902.8407883407,1101860.177606666
2026,11,1083720.9029116514,1230172.795625341
2026,12,1892919.853140998,1097252.8906149387
2027,1,2084318.5832783463,982961.8946018578
2027,2,1767380.274445343,903268.4965105057
2027,3,1418367.4269975186,867401.9709586978
2027,4,1039246.1382807493,807794.9012462138
2027,5,625247.0166663527,783824.0220042109
2027,6,491047.0831467748,784614.40975703
2027,7,453098.98391450645,812669.1341862797
2027,8,438116.6203407645,890556.0029341936
2027,9,434221.88159161207,1049810.4565626502
2027,10,705572.7767832697,1256844.3396378516
2027,11,1075725.7123960615,1125909.8641917587
2027,12,1889815.2355208157,1069278.0155080676
2028,1,2097953.48529315,970842.7176283479
2028,2,1780571.4944520234,899608.1879564404
2028,3,1431656.8131165027,870571.8707332968
2028,4,1042246.1783153773,817474.7718696713
2028,5,637421.8025568008,804244.8368914246
2028,6,489657.83912097814,818146.313574326
