시점,평균기온 (℃),난방도일 (도일),냉방도일 (도일) 
1997.01,-3.3,659.8,0
1997.02,0.7,485.2,0
1997.03,6.8,346.8,0
1997.04,13,151.4,0
1997.05,17,41.2,0
1997.06,23.4,1.8,26.6
1997.07,26.1,0,78.8
1997.08,26.8,0,90.5
1997.09,20.2,14.7,8.2
1997.10,13.4,147.1,0
1997.11,8.8,274.8,0
1997.12,1.8,502.6,0
1998.01,-1.4,600.1,0
1998.02,3.4,410.2,0
1998.03,7.3,330.8,0
1998.04,15.6,87.8,0
1998.05,19,17.6,0.9
1998.06,21.9,9.5,11
1998.07,24.9,0,37
1998.08,25,0,35.7
1998.09,23,0.4,19.2
1998.10,17,59.1,0
1998.11,7.3,319.9,0
1998.12,2.3,487.5,0
1999.01,-0.8,581.6,0
1999.02,0.7,484.6,0
1999.03,6.7,351.6,0
1999.04,13.9,137.5,0
1999.05,17.5,35.4,0
1999.06,23.1,0,14.8
1999.07,25.9,0,61.6
1999.08,26,0,71.8
1999.09,22.9,3.2,21.8
1999.10,14.3,117,0
1999.11,7.9,303.6,0
1999.12,0.4,545.8,0
2000.01,-2.1,621.9,0
2000.02,-1.7,570.4,0
2000.03,6.3,361.7,0
2000.04,11.9,183.7,0
2000.05,17.5,42.5,0
2000.06,23.7,0,19.8
2000.07,26.8,0,86.8
2000.08,26.2,0,75
2000.09,20.7,5.9,4.4
2000.10,14.9,110.3,0
2000.11,7,331.4,0
2000.12,0.9,530.7,0
2001.01,-4.2,686.9,0
2001.02,-0.3,512.1,0
2001.03,5,403.4,0
2001.04,13.6,141.2,0
2001.05,19.1,20.9,0.6
2001.06,22.5,0,4.8
2001.07,25.9,0,61.5
2001.08,26.5,0,80.1
2001.09,22.5,2.6,12.7
2001.10,16.5,48.9,0
2001.11,7,328.6,0
2001.12,-0.6,576.4,0
2002.01,0.3,549.6,0
2002.02,2.9,422.8,0
2002.03,7.6,321.1,0
2002.04,13.6,139.6,0
2002.05,18.2,23.6,0
2002.06,22.2,1.6,8.4
2002.07,25.2,0,49.1
2002.08,24.2,0,27.9
2002.09,21.6,0,7.1
2002.10,12.8,162.2,0
2002.11,4,419.1,0
2002.12,1.7,506.2,0
2003.01,-2.6,637.1,0
2003.02,2.7,429.6,0
2003.03,6.5,356.7,0
2003.04,13.2,146.3,0
2003.05,19.6,16.7,1.3
2003.06,21.5,1.3,2.5
2003.07,23.8,0,20
2003.08,24.1,0,23.5
2003.09,20.9,0,0
2003.10,13.9,132.2,0
2003.11,9.5,254.3,0
2003.12,0.7,535.2,0
2004.01,-1.6,606.3,0
2004.02,2.3,455.1,0
2004.03,6.3,363.3,0
2004.04,13.1,148.3,0
2004.05,17.6,32.9,0
2004.06,23.2,0,15.3
2004.07,24.8,0,48.1
2004.08,26.1,0,73.6
2004.09,21.7,3.3,4.2
2004.10,15.2,92.9,0
2004.11,9.1,266.7,0
2004.12,1.9,498.6,0
2005.01,-2.5,636,0
2005.02,-1.9,558.4,0
2005.03,4.1,429.9,0
2005.04,13.2,149.9,0
2005.05,17.7,43,0
2005.06,22.7,0,7.6
2005.07,25.3,0,51.9
2005.08,25.1,0.4,53.1
2005.09,21.8,3.3,8.6
2005.10,14.7,106.7,0
2005.11,8.6,283,0
2005.12,-3.9,678.9,0
2006.01,-0.2,564.6,0
2006.02,0.1,501.1,0
2006.03,5.2,397.4,0
2006.04,11.6,193.5,0
2006.05,18.4,18.3,0
2006.06,21.8,1.8,3.7
2006.07,23.1,0,14.4
2006.08,27,0,94.9
2006.09,21.1,4.5,3.3
2006.10,17.9,39.2,0
2006.11,8.4,289.5,0
2006.12,1.4,514.2,0
2007.01,0.4,545.8,0
2007.02,4,393.2,0
2007.03,6.1,370.3,0
2007.04,11.4,199.2,0
2007.05,18.1,30.1,0
2007.06,23.2,0,15.1
2007.07,24.2,0,29.9
2007.08,26.5,0,78.2
2007.09,21.5,1.1,2
2007.10,15.1,102.1,0
2007.11,6.7,337.8,0
2007.12,1.8,503.6,0
2008.01,-1.7,610.2,0
2008.02,-1.2,556.4,0
2008.03,7.3,330.2,0
