YEAR,MONTH,CIVIL,IND
2021,1,1833041.375,666025.875
2021,2,1642872.25,618176.875
2021,3,1233615.625,592492.125
2021,4,931319.5625,526261.75
2021,5,510511.4375,450868.71875
2021,6,428219.34375,498253.9375
2021,7,409677.8125,521383.96875
2021,8,409678.8125,530950.75
2021,9,409679.8125,554031.125
2021,10,631115.9375,574794.25
2021,11,1042525.0,706419.5
2021,12,1749849.375,808546.25
2022,1,1875446.375,699530.875
2022,2,1645895.875,592345.625
2022,3,1233615.625,580912.6875
2022,4,931319.5625,549413.75
2022,5,510511.4375,530950.75
2022,6,453882.84375,536011.125
2022,7,421045.4375,548258.6875
2022,8,421046.4375,541896.6875
2022,9,421047.4375,582991.0
2022,10,714622.0625,577250.25
2022,11,1034093.0,706419.5
2022,12,1738909.0,808546.25
2023,1,1991078.0,699530.875
2023,2,1629448.25,580912.6875
2023,3,1233615.625,579443.0
2023,4,931319.5625,585680.625
2023,5,509040.0,541896.6875
2023,6,472425.40625,556695.875
2023,7,421045.4375,582991.0
2023,8,421046.4375,582991.0
2023,9,421047.4375,580808.25
2023,10,744085.5,574298.875
2023,11,1034093.0,706419.5
2023,12,1741449.625,808546.25
2024,1,1991078.0,699530.875
2024,2,1644008.0,579443.0
2024,3,1233615.625,576491.625
2024,4,931319.5625,583497.875
2024,5,509040.0,582991.0
2024,6,495216.65625,582991.0
2024,7,439587.96875,580808.25
2024,8,439588.96875,580808.25
2024,9,439589.96875,549317.25
2024,10,791940.4375,569345.9375
2024,11,1034512.8125,706419.5
2024,12,1741449.625,808546.25
2025,1,1912420.0,699530.875
2025,2,1644008.0,576491.625
2025,3,1233615.625,576491.625
2025,4,931319.5625,544351.1875
2025,5,509040.0,580808.25
2025,6,495216.65625,580808.25
2025,7,472426.40625,549317.25
2025,8,472427.40625,549317.25
2025,9,472428.40625,544364.3125
2025,10,860820.125,569345.9375
2025,11,1034512.8125,706419.5
2025,12,1741449.625,808546.25
2026,1,1912420.0,699530.875
2026,2,1644008.0,576491.625
2026,3,1233615.625,576491.625
2026,4,931319.5625,546533.9375
2026,5,509040.0,549317.25
2026,6,495216.65625,549317.25
2026,7,495217.65625,544364.3125
2026,8,495218.65625,544364.3125
2026,9,495219.65625,582991.0
2026,10,908020.125,573106.875
2026,11,1034512.8125,706419.5
2026,12,1741449.625,808546.25
2027,1,1912420.0,699530.875
2027,2,1644008.0,576491.625
2027,3,1233615.625,576491.625
2027,4,931319.5625,585680.625
2027,5,509040.0,544364.3125
2027,6,495216.65625,544364.3125
2027,7,495217.65625,582991.0
2027,8,495218.65625,582991.0
2027,9,495219.65625,580808.25
2027,10,913794.1875,573106.875
2027,11,1034512.8125,706419.5
2027,12,1741449.625,808546.25
2028,1,1912420.0,699530.875
2028,2,1644008.0,576491.625
2028,3,1233615.625,576491.625
2028,4,931319.5625,583497.875
2028,5,509040.0,582991.0
2028,6,495216.65625,582991.0
2028,7,495217.65625,580808.25
2028,8,495218.65625,580808.25
2028,9,495219.65625,549317.25
2028,10,936755.4375,569345.9375
2028,11,1034512.8125,706419.5
2028,12,1741449.625,808546.25
2029,1,1912420.0,699530.875
2029,2,1644008.0,576491.625
2029,3,1233615.625,576491.625
2029,4,931319.5625,544351.1875
2029,5,509040.0,580808.25
2029,6,495216.65625,580808.25
2029,7,495217.65625,549317.25
2029,8,495218.65625,549317.25
2029,9,495219.65625,544364.3125
2029,10,936755.4375,569345.9375
2029,11,1034512.8125,706419.5
2029,12,1741449.625,808546.25
2030,1,1912420.0,699530.875
2030,2,1644008.0,576491.625
2030,3,1233615.625,576491.625
2030,4,931319.5625,546533.9375
2030,5,509040.0,549317.25
2030,6,495216.65625,549317.25
2030,7,495217.65625,544364.3125
2030,8,495218.65625,544364.3125
2030,9,495219.65625,582991.0
2030,10,936755.4375,573106.875
2030,11,1034512.8125,706419.5
2030,12,1741449.625,808546.25
2031,1,1912420.0,699530.875
2031,2,1644008.0,576491.625
2031,3,1233615.625,576491.625
2031,4,931319.5625,585680.625
2031,5,509040.0,544364.3125
2031,6,495216.65625,544364.3125
2031,7,495217.65625,582991.0
2031,8,495218.65625,582991.0
2031,9,495219.65625,580808.25
2031,10,936755.4375,573106.875
2031,11,1034512.8125,706419.5
2031,12,1741449.625,808546.25
2032,1,1912420.0,699530.875
2032,2,1644008.0,576491.625
2032,3,1233615.625,576491.625
2032,4,931319.5625,583497.875
2032,5,509040.0,582991.0
2032,6,495216.65625,582991.0
2032,7,495217.65625,580808.25
2032,8,495218.65625,580808.25
2032,9,495219.65625,549317.25
2032,10,936755.4375,569345.9375
2032,11,1034512.8125,706419.5
2032,12,1741449.625,808546.25
2033,1,1912420.0,699530.875
2033,2,1644008.0,576491.625
2033,3,1233615.625,576491.625
2033,4,931319.5625,544351.1875
2033,5,509040.0,580808.25
2033,6,495216.65625,580808.25
2033,7,495217.65625,549317.25
2033,8,495218.65625,549317.25
2033,9,495219.65625,544364.3125
