날짜,종가,오픈,고가,저가,거래량,변동 %
1996.1.1,878.82,882.29,894.49,837.01,531.78M,-0.47%
1996.2.1,852.83,879.19,894.62,847.77,566.28M,-2.96%
1996.3.1,874.16,852.76,874.18,834.79,488.43M,2.50%
1996.4.1,980.9,876.57,991.24,867.9,1.08B,12.21%
1996.5.1,903.09,980.6,992.07,886.71,957.86M,-7.93%
1996.6.1,817.43,907.24,917.42,810.81,494.25M,-9.49%
1996.7.1,821.71,816.47,862.4,795.93,522.78M,0.52%
1996.8.1,781.49,822.8,844.93,749.76,477.13M,-4.89%
1996.9.1,789.67,781.77,806.17,754.69,522.20M,1.05%
1996.10.1,757.59,790.47,849.12,751.43,987.41M,-4.06%
1996.11.1,726.48,757.79,774.51,710.49,589.27M,-4.11%
1996.12.1,651.22,724.75,735.15,643.57,558.64M,-10.36%
1997.1.1,685.84,647.67,721.79,600.56,790.22M,5.32%
1997.2.1,676.53,686.37,729.64,664.75,702.05M,-1.36%
1997.3.1,677.34,677.18,685.95,607.87,831.36M,0.12%
1997.4.1,703.23,678.97,710.67,668.72,987.28M,3.82%
1997.5.1,756.77,704.77,756.78,667.66,1.13B,7.61%
1997.6.1,745.4,758.92,799.54,737.98,1.23B,-1.50%
1997.7.1,726.12,744.98,783.24,721.4,937.92M,-2.59%
1997.8.1,695.37,726.84,766.7,688.27,788.05M,-4.23%
1997.9.1,647.11,691.8,705.2,622.03,651.94M,-6.94%
1997.10.1,470.79,646.86,655.04,462.83,920.61M,-27.25%
1997.11.1,407.86,472.35,565.16,391.13,1.35B,-13.37%
1997.12.1,376.31,405.52,443.51,338.94,1.82B,-7.74%
1998.1.1,567.38,374.41,587.99,372.37,2.24B,50.77%
1998.2.1,558.98,556.58,566.24,462.26,1.91B,-1.48%
1998.3.1,481.04,562.66,591.7,479.52,1.83B,-13.94%
1998.4.1,421.22,482.88,498.71,399.48,1.26B,-12.44%
1998.5.1,332.03,418.64,418.64,301.22,1.31B,-21.17%
1998.6.1,297.88,334.1,353.29,277.37,1.64B,-10.29%
1998.7.1,343.33,298.01,374.08,298.01,2.29B,15.26%
1998.8.1,310.16,341.85,341.85,288.06,1.85B,-9.66%
1998.9.1,310.32,309.74,338.95,287.46,1.81B,0.05%
1998.10.1,403.44,309.52,404.62,302.71,2.56B,30.01%
1998.11.1,451.88,406.97,467.13,393.98,4.34B,12.01%
1998.12.1,562.46,451.85,599.32,438.42,5.49B,24.47%
1999.1.1,571.43,565.1,651.95,531.2,5.02B,1.59%
1999.2.1,520.06,571.93,583.26,489.75,2.39B,-8.99%
1999.3.1,618.98,521.97,622.91,521.97,4.12B,19.02%
1999.4.1,752.59,618.99,806.41,616.84,6.68B,21.59%
1999.5.1,736.02,753.65,826.04,690.04,5.04B,-2.20%
1999.6.1,883,735.54,909.33,728.34,5.27B,19.97%
1999.7.1,969.72,887.56,"1,052.60",860.13,8.34B,9.82%
1999.8.1,937.88,967.7,995.08,841.27,6.65B,-3.28%
1999.9.1,836.18,944.5,984.57,836.18,5.41B,-10.84%
1999.10.1,833.51,838.65,877.06,778.9,5.92B,-0.32%
1999.11.1,996.66,863.5,"1,024.09",855.48,8.53B,19.57%
1999.12.1,1028.07,992.62,"1,038.04",934.22,6.00B,3.15%
2000.1.1,943.88,"1,028.33","1,066.18",875.82,4.80B,-8.19%
2000.2.1,828.38,955.44,991.71,810.53,5.14B,-12.24%
2000.3.1,860.94,864.78,928.55,820.3,6.54B,3.93%
2000.4.1,725.39,866.75,880.41,688.36,4.11B,-15.74%
2000.5.1,731.88,731.76,778.46,625.14,4.94B,0.89%
2000.6.1,821.22,730.55,858.34,722.24,8.78B,12.21%
2000.7.1,705.97,824.83,863.53,678.35,8.76B,-14.03%
2000.8.1,688.62,710.05,754.46,665.63,6.03B,-2.46%
2000.9.1,613.22,690.93,698.28,551,5.46B,-10.95%
2000.10.1,514.48,595.68,616.22,483.58,6.67B,-16.10%
2000.11.1,509.23,524.69,581.47,499.52,7.35B,-1.02%
2000.12.1,504.62,490.88,560.16,489.53,5.20B,-0.91%
2001.1.1,617.91,503.31,627.45,500.97,9.51B,22.45%
2001.2.1,578.1,606.49,620.78,571.04,7.52B,-6.44%
2001.3.1,523.22,574.61,579.28,516.97,7.84B,-9.49%
2001.4.1,577.36,520.56,581.63,491.21,7.08B,10.35%
2001.5.1,612.16,586.27,633.16,572.36,11.81B,6.03%
2001.6.1,595.13,615.67,623.37,580.75,7.28B,-2.78%
2001.7.1,541.55,593.03,600.51,512.78,5.65B,-9.00%
2001.8.1,545.11,546.3,585.36,542,9.65B,0.66%
2001.9.1,479.68,545.02,559.17,463.54,12.16B,-12.00%
2001.10.1,537.81,498.87,550.93,493.12,10.31B,12.12%
2001.11.1,643.89,540.63,680.91,536.2,16.02B,19.72%
2001.12.1,693.7,643.61,715.93,631.87,11.60B,7.74%
